vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Chiquinho Brazão,1,0,1,2018,junho,6
Cláudio Castro,0,0,0,2018,junho,6
Daniel Martins,0,0,0,2018,junho,6
David Miranda,1,0,1,2018,junho,6
Dr. Carlos Eduardo,0,0,0,2018,junho,6
Dr. Jairinho,0,0,0,2018,junho,6
Dr. João Ricardo,1,0,1,2018,junho,6
Dr. Jorge Manaia,0,0,0,2018,junho,6
Eliseu Kessler,2,1,1,2018,junho,6
Felipe Michel,0,0,0,2018,junho,6
Fernando William,0,0,0,2018,junho,6
Inaldo Silva,1,1,0,2018,junho,6
Italo Ciba,0,0,0,2018,junho,6
Jair da Mendes Gomes,0,0,0,2018,junho,6
Jones Moura,1,0,1,2018,junho,6
Jorge Felippe,0,0,0,2018,junho,6
Junior da Lucinha,0,0,0,2018,junho,6
Leandro Lyra,0,0,0,2018,junho,6
Leonel Brizola,0,0,0,2018,junho,6
Luciana Novaes,1,1,0,2018,junho,6
Luiz Carlos Ramos Filho,0,0,0,2018,junho,6
Marcelino D Almeida,0,0,0,2018,junho,6
Marcello Siciliano,1,0,1,2018,junho,6
Marcelo Arar,2,0,2,2018,junho,6
Otoni de Paula,1,0,1,2018,junho,6
Paulo Messina,0,0,0,2018,junho,6
Paulo Pinheiro,0,0,0,2018,junho,6
Prof.Célio Lupparelli,0,0,0,2018,junho,6
Professor Adalmir,0,0,0,2018,junho,6
Rafael Aloisio Freitas,2,0,2,2018,junho,6
Reimont,0,0,0,2018,junho,6
Renato Cinco,0,0,0,2018,junho,6
Rocal,0,0,0,2018,junho,6
Rosa Fernandes,4,3,1,2018,junho,6
Tânia Bastos,0,0,0,2018,junho,6
Tarcísio Motta,0,0,0,2018,junho,6
Teresa Bergher,0,0,0,2018,junho,6
Thiago K. Ribeiro,0,0,0,2018,junho,6
Tiãozinho do Jacaré,0,0,0,2018,junho,6
Ulisses Marins,0,0,0,2018,junho,6
Val Ceasa,0,0,0,2018,junho,6
Vera Lins,0,0,0,2018,junho,6
Veronica Costa,0,0,0,2018,junho,6
Welington Dias,0,0,0,2018,junho,6
Willian Coelho,0,0,0,2018,junho,6
Zico,0,0,0,2018,junho,6
Zico Bacana,0,0,0,2018,junho,6
Alexandre Isquierdo,0,0,0,2018,julho,7
Átila A. Nunes,0,0,0,2018,julho,7
Babá,0,0,0,2018,julho,7
Carlo Caiado,1,1,0,2018,julho,7
Carlos Bolsonaro,1,0,1,2018,julho,7
Cesar Maia,0,0,0,2018,julho,7
Chiquinho Brazão,1,0,1,2018,julho,7
Cláudio Castro,0,0,0,2018,julho,7
Daniel Martins,0,0,0,2018,julho,7
David Miranda,1,0,1,2018,julho,7
Dr. Carlos Eduardo,1,1,0,2018,julho,7
Dr. Jairinho,0,0,0,2018,julho,7
Dr. Jorge Manaia,0,0,0,2018,julho,7
Eliseu Kessler,1,0,1,2018,julho,7
Felipe Michel,0,0,0,2018,julho,7
Fernando William,0,0,0,2018,julho,7
Inaldo Silva,0,0,0,2018,julho,7
Italo Ciba,0,0,0,2018,julho,7
Jair da Mendes Gomes,0,0,0,2018,julho,7
Jones Moura,1,0,1,2018,julho,7
Jorge Felippe,0,0,0,2018,julho,7
Junior da Lucinha,1,0,1,2018,julho,7
Leandro Lyra,0,0,0,2018,julho,7
Leonel Brizola,0,0,0,2018,julho,7
Luciana Novaes,0,0,0,2018,julho,7
Luiz Carlos Ramos Filho,0,0,0,2018,julho,7
Marcelino D Almeida,0,0,0,2018,julho,7
Marcello Siciliano,1,0,1,2018,julho,7
Marcelo Arar,0,0,0,2018,julho,7
Otoni de Paula,0,0,0,2018,julho,7
Paulo Pinheiro,0,0,0,2018,julho,7
Prof.Célio Lupparelli,0,0,0,2018,julho,7
Professor Adalmir,0,0,0,2018,julho,7
Rafael Aloisio Freitas,0,0,0,2018,julho,7
Reimont,0,0,0,2018,julho,7
Renato Cinco,0,0,0,2018,julho,7
Rocal,0,0,0,2018,julho,7
Rosa Fernandes,0,0,0,2018,julho,7
Tânia Bastos,0,0,0,2018,julho,7
Tarcísio Motta,0,0,0,2018,julho,7
Teresa Bergher,0,0,0,2018,julho,7
Thiago K. Ribeiro,1,0,1,2018,julho,7
Tiãozinho do Jacaré,0,0,0,2018,julho,7
Ulisses Marins,0,0,0,2018,julho,7
Val Ceasa,0,0,0,2018,julho,7
Vera Lins,0,0,0,2018,julho,7
Veronica Costa,0,0,0,2018,julho,7
Welington Dias,0,0,0,2018,julho,7
Willian Coelho,0,0,0,2018,julho,7
Zico,0,0,0,2018,julho,7
Zico Bacana,0,0,0,2018,julho,7
Alexandre Isquierdo,0,0,0,2018,agosto,8
Átila A. Nunes,0,0,0,2018,agosto,8
Babá,1,0,1,2018,agosto,8
Carlo Caiado,0,0,0,2018,agosto,8
Carlos Bolsonaro,0,0,0,2018,agosto,8
Cesar Maia,1,0,1,2018,agosto,8
Chiquinho Brazão,6,1,5,2018,agosto,8
Cláudio Castro,0,0,0,2018,agosto,8
Daniel Martins,1,0,1,2018,agosto,8
David Miranda,0,0,0,2018,agosto,8
Dr. Carlos Eduardo,0,0,0,2018,agosto,8
Dr. Jairinho,0,0,0,2018,agosto,8
Dr. Jorge Manaia,1,1,0,2018,agosto,8
Eliseu Kessler,2,0,2,2018,agosto,8
Felipe Michel,0,0,0,2018,agosto,8
Fernando William,0,0,0,2018,agosto,8
Inaldo Silva,2,2,0,2018,agosto,8
Italo Ciba,0,0,0,2018,agosto,8
Jair da Mendes Gomes,0,0,0,2018,agosto,8
Jones Moura,2,0,2,2018,agosto,8
Jorge Felippe,0,0,0,2018,agosto,8
Junior da Lucinha,3,0,3,2018,agosto,8
Leandro Lyra,0,0,0,2018,agosto,8
Leonel Brizola,1,0,1,2018,agosto,8
Luciana Novaes,0,0,0,2018,agosto,8
Luiz Carlos Ramos Filho,0,0,0,2018,agosto,8
Marcelino D Almeida,0,0,0,2018,agosto,8
Marcello Siciliano,2,2,0,2018,agosto,8
Marcelo Arar,0,0,0,2018,agosto,8
Otoni de Paula,0,0,0,2018,agosto,8
Paulo Pinheiro,0,0,0,2018,agosto,8
Prof.Célio Lupparelli,0,0,0,2018,agosto,8
Professor Adalmir,0,0,0,2018,agosto,8
Rafael Aloisio Freitas,0,0,0,2018,agosto,8
Reimont,1,0,1,2018,agosto,8
Renato Cinco,0,0,0,2018,agosto,8
Rocal,1,1,0,2018,agosto,8
Rosa Fernandes,2,0,2,2018,agosto,8
Tânia Bastos,1,1,0,2018,agosto,8
Tarcísio Motta,0,0,0,2018,agosto,8
Teresa Bergher,5,4,1,2018,agosto,8
Thiago K. Ribeiro,1,1,0,2018,agosto,8
Tiãozinho do Jacaré,0,0,0,2018,agosto,8
Ulisses Marins,0,0,0,2018,agosto,8
Val Ceasa,0,0,0,2018,agosto,8
Vera Lins,1,1,0,2018,agosto,8
Veronica Costa,3,0,3,2018,agosto,8
Welington Dias,0,0,0,2018,agosto,8
Willian Coelho,2,0,2,2018,agosto,8
Zico,1,0,1,2018,agosto,8
Zico Bacana,0,0,0,2018,agosto,8
Alexandre Isquierdo,1,0,1,2018,setembro,9
Átila A. Nunes,2,0,2,2018,setembro,9
Babá,2,2,0,2018,setembro,9
Carlo Caiado,1,0,1,2018,setembro,9
Carlos Bolsonaro,0,0,0,2018,setembro,9
Cesar Maia,1,0,1,2018,setembro,9
Chiquinho Brazão,9,2,7,2018,setembro,9
Cláudio Castro,0,0,0,2018,setembro,9
Daniel Martins,0,0,0,2018,setembro,9
David Miranda,1,0,1,2018,setembro,9
Dr. Carlos Eduardo,0,0,0,2018,setembro,9
Dr. Jairinho,0,0,0,2018,setembro,9
Dr. João Ricardo,0,0,0,2018,setembro,9
Dr. Jorge Manaia,1,0,1,2018,setembro,9
Eliseu Kessler,2,2,0,2018,setembro,9
Felipe Michel,0,0,0,2018,setembro,9
Fernando William,0,0,0,2018,setembro,9
Inaldo Silva,0,0,0,2018,setembro,9
Italo Ciba,0,0,0,2018,setembro,9
Jair da Mendes Gomes,0,0,0,2018,setembro,9
Jones Moura,1,0,1,2018,setembro,9
Jorge Felippe,1,0,1,2018,setembro,9
Junior da Lucinha,3,0,3,2018,setembro,9
Leandro Lyra,0,0,0,2018,setembro,9
Leonel Brizola,0,0,0,2018,setembro,9
Luciana Novaes,0,0,0,2018,setembro,9
Luiz Carlos Ramos Filho,0,0,0,2018,setembro,9
Marcelino D Almeida,1,0,1,2018,setembro,9
Marcello Siciliano,1,1,0,2018,setembro,9
Marcelo Arar,0,0,0,2018,setembro,9
Otoni de Paula,2,0,2,2018,setembro,9
Paulo Pinheiro,0,0,0,2018,setembro,9
Prof.Célio Lupparelli,0,0,0,2018,setembro,9
Professor Adalmir,0,0,0,2018,setembro,9
Rafael Aloisio Freitas,0,0,0,2018,setembro,9
Reimont,0,0,0,2018,setembro,9
Renato Cinco,0,0,0,2018,setembro,9
Rocal,0,0,0,2018,setembro,9
Rosa Fernandes,0,0,0,2018,setembro,9
Tânia Bastos,0,0,0,2018,setembro,9
Tarcísio Motta,1,0,1,2018,setembro,9
Teresa Bergher,0,0,0,2018,setembro,9
Thiago K. Ribeiro,1,1,0,2018,setembro,9
Tiãozinho do Jacaré,1,0,1,2018,setembro,9
Ulisses Marins,1,0,1,2018,setembro,9
Val Ceasa,7,0,7,2018,setembro,9
Vera Lins,3,3,0,2018,setembro,9
Veronica Costa,2,0,2,2018,setembro,9
Welington Dias,0,0,0,2018,setembro,9
Willian Coelho,0,0,0,2018,setembro,9
Zico,1,0,1,2018,setembro,9
Zico Bacana,0,0,0,2018,setembro,9
Alexandre Isquierdo,0,0,0,2018,outubro,10
Babá,0,0,0,2018,outubro,10
Carlo Caiado,1,1,0,2018,outubro,10
Carlos Bolsonaro,0,0,0,2018,outubro,10
Cesar Maia,0,0,0,2018,outubro,10
Chiquinho Brazão,7,0,7,2018,outubro,10
Cláudio Castro,8,0,8,2018,outubro,10
Daniel Martins,0,0,0,2018,outubro,10
David Miranda,4,1,3,2018,outubro,10
Dr. Carlos Eduardo,0,0,0,2018,outubro,10
Dr. Jairinho,0,0,0,2018,outubro,10
Dr. João Ricardo,5,0,5,2018,outubro,10
Dr. Jorge Manaia,0,0,0,2018,outubro,10
Eliseu Kessler,0,0,0,2018,outubro,10
Felipe Michel,1,0,1,2018,outubro,10
Fernando William,0,0,0,2018,outubro,10
Inaldo Silva,0,0,0,2018,outubro,10
Italo Ciba,0,0,0,2018,outubro,10
Jair da Mendes Gomes,0,0,0,2018,outubro,10
Jones Moura,1,0,1,2018,outubro,10
Jorge Felippe,1,0,1,2018,outubro,10
Junior da Lucinha,3,0,3,2018,outubro,10
Leandro Lyra,0,0,0,2018,outubro,10
Leonel Brizola,2,0,2,2018,outubro,10
Luciana Novaes,2,2,0,2018,outubro,10
Luiz Carlos Ramos Filho,0,0,0,2018,outubro,10
Marcelino D Almeida,1,0,1,2018,outubro,10
Marcello Siciliano,0,0,0,2018,outubro,10
Marcelo Arar,1,0,1,2018,outubro,10
Otoni de Paula,1,0,1,2018,outubro,10
Paulo Pinheiro,0,0,0,2018,outubro,10
Prof.Célio Lupparelli,0,0,0,2018,outubro,10
Professor Adalmir,1,1,0,2018,outubro,10
Rafael Aloisio Freitas,0,0,0,2018,outubro,10
Reimont,0,0,0,2018,outubro,10
Renato Cinco,0,0,0,2018,outubro,10
Rocal,0,0,0,2018,outubro,10
Rosa Fernandes,0,0,0,2018,outubro,10
Tânia Bastos,1,0,1,2018,outubro,10
Tarcísio Motta,0,0,0,2018,outubro,10
Teresa Bergher,1,0,1,2018,outubro,10
Thiago K. Ribeiro,1,0,1,2018,outubro,10
Tiãozinho do Jacaré,0,0,0,2018,outubro,10
Ulisses Marins,0,0,0,2018,outubro,10
Val Ceasa,0,0,0,2018,outubro,10
Vera Lins,4,4,0,2018,outubro,10
Veronica Costa,6,0,6,2018,outubro,10
Welington Dias,0,0,0,2018,outubro,10
Willian Coelho,2,0,2,2018,outubro,10
Zico,0,0,0,2018,outubro,10
Zico Bacana,0,0,0,2018,outubro,10
Alexandre Isquierdo,0,0,0,2018,novmebro,11
Átila A. Nunes,0,0,0,2018,novmebro,11
Babá,0,0,0,2018,novmebro,11
Carlo Caiado,2,1,1,2018,novmebro,11
Carlos Bolsonaro,0,0,0,2018,novmebro,11
Cesar Maia,3,2,1,2018,novmebro,11
Chiquinho Brazão,2,0,2,2018,novmebro,11
Cláudio Castro,3,0,3,2018,novmebro,11
Daniel Martins,8,0,8,2018,novmebro,11
David Miranda,0,0,0,2018,novmebro,11
Dr. Carlos Eduardo,0,0,0,2018,novmebro,11
Dr. Gilberto,0,0,0,2018,novmebro,11
Dr. Jairinho,5,1,4,2018,novmebro,11
Dr. João Ricardo,1,0,1,2018,novmebro,11
Dr. Jorge Manaia,1,1,0,2018,novmebro,11
Dr. Marcos Paulo,0,0,0,2018,novmebro,11
Eliseu Kessler,0,0,0,2018,novmebro,11
Fátima da Solidariedade,0,0,0,2018,novmebro,11
Felipe Michel,0,0,0,2018,novmebro,11
Fernando William,0,0,0,2018,novmebro,11
Inaldo Silva,0,0,0,2018,novmebro,11
Italo Ciba,0,0,0,2018,novmebro,11
Jair da Mendes Gomes,0,0,0,2018,novmebro,11
Jones Moura,1,0,1,2018,novmebro,11
Jorge Felippe,5,4,1,2018,novmebro,11
Junior da Lucinha,1,0,1,2018,novmebro,11
Leandro Lyra,0,0,0,2018,novmebro,11
Leonel Brizola,1,0,1,2018,novmebro,11
Luciana Novaes,2,0,2,2018,novmebro,11
Luiz Carlos Ramos Filho,0,0,0,2018,novmebro,11
Major Elitusalem,0,0,0,2018,novmebro,11
Marcelino D Almeida,0,0,0,2018,novmebro,11
Marcello Siciliano,2,0,2,2018,novmebro,11
Marcelo Arar,0,0,0,2018,novmebro,11
Matheus Floriano,0,0,0,2018,novmebro,11
Otoni de Paula,6,0,6,2018,novmebro,11
Paulo Messina,0,0,0,2018,novmebro,11
Paulo Pinheiro,0,0,0,2018,novmebro,11
Prof.Célio Lupparelli,0,0,0,2018,novmebro,11
Professor Adalmir,0,0,0,2018,novmebro,11
Rafael Aloisio Freitas,0,0,0,2018,novmebro,11
Reimont,1,0,1,2018,novmebro,11
Renato Cinco,0,0,0,2018,novmebro,11
Renato Moura,0,0,0,2018,novmebro,11
Rocal,0,0,0,2018,novmebro,11
Rosa Fernandes,0,0,0,2018,novmebro,11
Tânia Bastos,0,0,0,2018,novmebro,11
Tarcísio Motta,0,0,0,2018,novmebro,11
Teresa Bergher,3,2,1,2018,novmebro,11
Thiago K. Ribeiro,2,0,2,2018,novmebro,11
Tiãozinho do Jacaré,0,0,0,2018,novmebro,11
Ulisses Marins,0,0,0,2018,novmebro,11
