vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Veronica Costa,5,0,5,2018,dezembro,12
Welington Dias,0,0,0,2018,dezembro,12
Willian Coelho,0,0,0,2018,dezembro,12
Zico,0,0,0,2018,dezembro,12
Zico Bacana,0,0,0,2018,dezembro,12
Alexandre Isquierdo,0,0,0,2019,fevereiro,2
Átila A. Nunes,4,0,4,2019,fevereiro,2
Babá,2,2,0,2019,fevereiro,2
Carlo Caiado,1,0,1,2019,fevereiro,2
Carlos Bolsonaro,0,0,0,2019,fevereiro,2
Cesar Maia,0,0,0,2019,fevereiro,2
Dr. Carlos Eduardo,0,0,0,2019,fevereiro,2
Dr. Gilberto,1,0,1,2019,fevereiro,2
Dr. Jairinho,1,0,1,2019,fevereiro,2
Dr. João Ricardo,1,0,1,2019,fevereiro,2
Dr. Jorge Manaia,1,1,0,2019,fevereiro,2
Dr. Marcos Paulo,0,0,0,2019,fevereiro,2
Eliseu Kessler,3,0,3,2019,fevereiro,2
Fátima da Solidariedade,0,0,0,2019,fevereiro,2
Felipe Michel,0,0,0,2019,fevereiro,2
Fernando William,0,0,0,2019,fevereiro,2
Inaldo Silva,0,0,0,2019,fevereiro,2
Italo Ciba,0,0,0,2019,fevereiro,2
Jair da Mendes Gomes,0,0,0,2019,fevereiro,2
Jimmy Pereira,1,1,0,2019,fevereiro,2
Jones Moura,0,0,0,2019,fevereiro,2
Jorge Felippe,3,3,0,2019,fevereiro,2
Junior da Lucinha,1,0,1,2019,fevereiro,2
Leandro Lyra,0,0,0,2019,fevereiro,2
Leonel Brizola,1,0,1,2019,fevereiro,2
Luciana Novaes,1,0,1,2019,fevereiro,2
Luiz Carlos Ramos Filho,0,0,0,2019,fevereiro,2
Major Elitusalem,0,0,0,2019,fevereiro,2
Marcelino D Almeida,1,0,1,2019,fevereiro,2
Marcello Siciliano,0,0,0,2019,fevereiro,2
Marcelo Arar,1,0,1,2019,fevereiro,2
Paulo Pinheiro,0,0,0,2019,fevereiro,2
Prof.Célio Lupparelli,0,0,0,2019,fevereiro,2
Professor Adalmir,0,0,0,2019,fevereiro,2
Rafael Aloisio Freitas,0,0,0,2019,fevereiro,2
Reimont,0,0,0,2019,fevereiro,2
Renato Cinco,0,0,0,2019,fevereiro,2
Renato Moura,0,0,0,2019,fevereiro,2
Rocal,0,0,0,2019,fevereiro,2
Rosa Fernandes,1,0,1,2019,fevereiro,2
Tânia Bastos,0,0,0,2019,fevereiro,2
Tarcísio Motta,0,0,0,2019,fevereiro,2
Teresa Bergher,0,0,0,2019,fevereiro,2
Thiago K. Ribeiro,1,0,1,2019,fevereiro,2
Tiãozinho do Jacaré,0,0,0,2019,fevereiro,2
Vera Lins,1,1,0,2019,fevereiro,2
Veronica Costa,0,0,0,2019,fevereiro,2
Welington Dias,1,0,1,2019,fevereiro,2
Willian Coelho,1,0,1,2019,fevereiro,2
Zico,1,0,1,2019,fevereiro,2
Zico Bacana,0,0,0,2019,fevereiro,2
Alexandre Isquierdo,1,0,1,2019,março,3
Átila A. Nunes,0,0,0,2019,março,3
Babá,5,5,0,2019,março,3
Carlo Caiado,0,0,0,2019,março,3
Carlos Bolsonaro,0,0,0,2019,março,3
Cesar Maia,0,0,0,2019,março,3
Dr. Carlos Eduardo,0,0,0,2019,março,3
Dr. Gilberto,0,0,0,2019,março,3
Dr. Jairinho,0,0,0,2019,março,3
Dr. João Ricardo,0,0,0,2019,março,3
Dr. Jorge Manaia,0,0,0,2019,março,3
Dr. Marcos Paulo,0,0,0,2019,março,3
Eliseu Kessler,0,0,0,2019,março,3
Fátima da Solidariedade,1,1,0,2019,março,3
Felipe Michel,0,0,0,2019,março,3
Fernando William,0,0,0,2019,março,3
Inaldo Silva,0,0,0,2019,março,3
Italo Ciba,0,0,0,2019,março,3
Jair da Mendes Gomes,0,0,0,2019,março,3
Jimmy Pereira,1,0,1,2019,março,3
Jones Moura,0,0,0,2019,março,3
Jorge Felippe,1,1,0,2019,março,3
Junior da Lucinha,0,0,0,2019,março,3
Leandro Lyra,0,0,0,2019,março,3
Leonel Brizola,1,0,1,2019,março,3
Luciana Novaes,0,0,0,2019,março,3
Luiz Carlos Ramos Filho,0,0,0,2019,março,3
Major Elitusalem,0,0,0,2019,março,3
Marcelino D Almeida,1,0,1,2019,março,3
Marcello Siciliano,2,1,1,2019,março,3
Marcelo Arar,2,0,2,2019,março,3
Paulo Pinheiro,0,0,0,2019,março,3
Prof.Célio Lupparelli,0,0,0,2019,março,3
Professor Adalmir,0,0,0,2019,março,3
Rafael Aloisio Freitas,1,1,0,2019,março,3
Reimont,0,0,0,2019,março,3
Renato Cinco,0,0,0,2019,março,3
Renato Moura,0,0,0,2019,março,3
Rocal,0,0,0,2019,março,3
Rosa Fernandes,1,0,1,2019,março,3
Tânia Bastos,1,1,0,2019,março,3
Tarcísio Motta,0,0,0,2019,março,3
Teresa Bergher,0,0,0,2019,março,3
Thiago K. Ribeiro,2,1,1,2019,março,3
Tiãozinho do Jacaré,0,0,0,2019,março,3
Vera Lins,0,0,0,2019,março,3
Veronica Costa,1,1,0,2019,março,3
Welington Dias,0,0,0,2019,março,3
Willian Coelho,0,0,0,2019,março,3
Zico,0,0,0,2019,março,3
Zico Bacana,0,0,0,2019,março,3
Alexandre Isquierdo,0,0,0,2019,abril,4
Átila A. Nunes,0,0,0,2019,abril,4
Babá,0,0,0,2019,abril,4
Carlo Caiado *,0,0,0,2019,abril,4
Carlos Bolsonaro,0,0,0,2019,abril,4
Cesar Maia,3,3,0,2019,abril,4
Dr. Carlos Eduardo,0,0,0,2019,abril,4
Dr. Gilberto,0,0,0,2019,abril,4
Dr. Jairinho,0,0,0,2019,abril,4
Dr. João Ricardo,0,0,0,2019,abril,4
Dr. Jorge Manaia,0,0,0,2019,abril,4
Dr. Marcos Paulo,0,0,0,2019,abril,4
Eliseu Kessler,1,0,1,2019,abril,4
Fátima da Solidariedade,0,0,0,2019,abril,4
Felipe Michel,0,0,0,2019,abril,4
Fernando William,0,0,0,2019,abril,4
Inaldo Silva,0,0,0,2019,abril,4
Italo Ciba,0,0,0,2019,abril,4
Jair da Mendes Gomes,0,0,0,2019,abril,4
Jones Moura,0,0,0,2019,abril,4
Jorge Felippe,1,1,0,2019,abril,4
Junior da Lucinha,0,0,0,2019,abril,4
Leandro Lyra,0,0,0,2019,abril,4
Leonel Brizola,0,0,0,2019,abril,4
Luciana Novaes,2,1,1,2019,abril,4
Luiz Carlos Ramos Filho,0,0,0,2019,abril,4
Major Elitusalem,0,0,0,2019,abril,4
Marcelino D Almeida,3,3,0,2019,abril,4
Marcello Siciliano,0,0,0,2019,abril,4
Marcelo Arar,0,0,0,2019,abril,4
Matheus Floriano,0,0,0,2019,abril,4
Paulo Messina,0,0,0,2019,abril,4
Paulo Pinheiro,0,0,0,2019,abril,4
Prof.Célio Lupparelli,0,0,0,2019,abril,4
Professor Adalmir,0,0,0,2019,abril,4
Rafael Aloisio Freitas,0,0,0,2019,abril,4
Reimont,0,0,0,2019,abril,4
